Grupės pav.,Amžiaus grupė,Grupių sk.,Vietų sk.,Laisvos vietos,Mokslo metai
",,Viščiukai""",lopšelio,-,16,0,2015-2016
",,Kačiukai""",lopšelio,-,16,0,2015-2016
",,Ežiukai""",darželio,-,21,0,2015-2016
",,Boružiukai""",darželio,-,21,0,2015-2016
",,Varliukai""",priešmokyklinė,-,20,0,2015-2016
",,Pelėdžiukai""",darželio,-,19,0,2015-2016
",,Skudurinė Onutė""",priešmokyklinė,-,19,0,2015-2016
",,Beždžioniukai""",darželio,-,20,0,2015-2016
",,Meškiukai""",darželio,-,19,0,2015-2016
",,Bitučių""",darželio,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Naminukas“,10,191,0,-,
Kauno lopšelis-darželis „Dobilėlis“,,,,,
",,Boružėlių""",lopšelio,-,15,0,2015-2016
",,Žirniukų""",darželio,-,20,0,2015-2016
",,Paukštelių""",darželio,-,20,0,2015-2016
",,Saulutės""",darželio,-,20,0,2015-2016
",,Smalsučių""",darželio,-,20,0,2015-2016
",,Čiauškučių""",priešmokyklinė,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Dobilėlis“,6,115,0,-,
Kauno „Varpelio“ pradinė mokykla,,,,,
Priešmokyklinė grupė,priešmokyklinė,-,20,0,2015-2016
Iš viso: Kauno „Varpelio“ pradinė mokykla,1,20,0,-,
Kauno lopšelis-darželis „Daigelis“,,,,,
Meškiukų,lopšelio,-,18,0,2015-2016
Žvirbliukų,lopšelio,-,18,0,2015-2016
Kiškučių,darželio,-,22,0,2015-2016
Pelėdžiukų,darželio,-,24,0,2015-2016
Ežiukų,darželio,-,24,0,2015-2016
Bitučių,priešmokyklinė,-,24,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Daigelis“,6,130,0,-,
Kauno lopšelis-darželis „Klausutis“,,,,,
BITUTĖS,darželio,-,20,0,2015-2016
BORUŽĖLĖS,darželio,-,20,0,2015-2016
DRUGELIAI,lopšelio,-,15,0,2015-2016
SAULUTĖS,lopšelio,-,15,0,2015-2016
ŽIRNIUKAI,darželio,-,20,0,2015-2016
ZUIKUČIAI,priešmokyklinė,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Klausutis“,6,110,0,-,
Kauno lopšelis-darželis „Žingsnelis“,,,,,
Boružiukų,lopšelio,-,16,0,2015-2016
Ežiukų,lopšelio,-,16,0,2015-2016
Pelėdžiukų,lopšelio,-,17,0,2015-2016
Voveriukų,darželio,-,23,0,2015-2016
Lapiukų,darželio,-,23,0,2015-2016
Drugelių,darželio,-,24,0,2015-2016
Zuikučių,darželio,-,21,0,2015-2016
Gandriukų,darželio,-,25,0,2015-2016
Bitučių,darželio,-,25,0,2015-2016
Giliukų,priešmokyklinė,-,25,0,2015-2016
Meškučių,priešmokyklinė,-,23,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Žingsnelis“,11,238,0,-,
Kauno lopšelis-darželis „Saulutė“,,,,,
Spindulėliai,priešmokyklinė,-,20,0,2015-2016
Gintarėliai,priešmokyklinė,-,20,0,2015-2016
Boružėlės,priešmokyklinė,-,20,0,2015-2016
Skruzdėliukai,lopšelio,-,15,0,2015-2016
Drugeliai,darželio,-,20,0,2015-2016
Nykštukai,darželio,-,20,0,2015-2016
Meškučiai,darželio,-,20,0,2015-2016
Bitutės,lopšelio,-,15,0,2015-2016
Žirniukai,darželio,-,20,0,2015-2016
Kiškučiai,lopšelio,-,15,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Saulutė“,10,185,0,-,
"Kauno lopšelis-darželis ""Ežiukas""",,,,,
Riešutėlių,lopšelio,-,14,0,2015-2016
Šermukšnėlių,priešmokyklinė,-,20,0,2015-2016
Klevelių,darželio,-,20,0,2015-2016
Berželių,darželio,-,20,0,2015-2016
Kaštonėlių,darželio,-,20,0,2015-2016
Ąžuoliukų,darželio,-,20,0,2015-2016
"Iš viso: Kauno lopšelis-darželis ""Ežiukas""",6,114,0,-,
"Kauno lopšelis-darželis ""Aviliukas""",,,,,
SAULUTĖ,darželio,-,15,0,2015-2016
BITUČIŲ,darželio,-,15,0,2015-2016
"Iš viso: Kauno lopšelis-darželis ""Aviliukas""",2,30,0,-,
Kauno lopšelis-darželis „Volungėlė“,,,,,
Viščiukai,lopšelio,-,19,0,2015-2016
Vyturiukai,lopšelio,-,20,0,2015-2016
Kregždutės,lopšelio,-,15,0,2015-2016
